mailingAddr1,totalActualVal
2022 MARIPOSA AVE,738100
2650 UNIVERSITY HEIGHTS AVE,557000
1340 6TH ST,458100
3070 18TH ST,372200
1050 BEREA DR,451800
1050 BEREA DR,1114800
730 EVERGREEN AVE,1056100
513 DEWEY AVE,538100
600 11TH ST,2375000
522 PINE ST,1700000
PO BOX 791,350000
811 14TH ST,818500
1440 SIERRA DR,951900
2050 KALMIA AVE,535300
2050 KALMIA AVE,535300
1727 SPRUCE ST,961800
3117  COUNTY ROAD 14 1/2,769600
3025 BROADWAY APT 37,414000
3660 ASPEN CT,419900
2540 PINE ST,659700
2270 BLUEBELL AVE,733800
2930 DOVER DR,474100
520 AURORA ST,548400
3173 8TH ST,460300
3475 17TH ST,427000
2425 FOREST AVE,547100
1024 LINDEN DR,648300
2400 DARTMOUTH AVE,501000
1303 BASELINE RD,1232100
245 ECHO PL,828000
3225 10TH ST,1248000
3225 10TH ST,1248000
2842 10TH ST,1135100
2929 6TH ST,644900
690 11TH ST,1819900
1638 GROVE ST,516000
5637 VANTAGE POINT RD,108800
2025 GRAPE AVE,447000
3023 WASHINGTON ST,668000
350 NORTON ST,641700
3220 ARNETT ST,341600
735 HIGHLAND AVE,1491600
1349 NORTH ST,424800
390 S 68TH ST,962000
315 HARVARD LN,380000
3176 10TH ST,559500
RAWJER K SCHLOTTERBECK,884000
3018 13TH ST,507900
3025 8TH ST,1352000
485 SUNNYSIDE LN,865800
2525 ARAPAHOE AVE UNIT E4 PMB 265,1050000
1235 MEADOW AVE,964900
3040 15TH ST,605400
535 EVERGREEN AVE,2650100
835 CIRCLE DR,2633100
2465 GLENWOOD DR,432400
120 JUNIPER HILL RD NE,850000
1014 MAPLETON AVE,1091600
2505 KOHLER DR,753900
2961 BROADWAY,915500
4159 VICASA DR,793600
838 NORTH ST,563700
2922 4TH ST,1335200
444 CONCORD AVE,502400
2210 BALSAM DR,652500
2210 BALSAM DR,652500
1680 6TH ST UNIT 2,1030000
1680 6TH ST UNIT 2,1030000
3084 6TH ST,503700
3084 6TH ST,503700
32156 FOX RUN LN,399900
416 ARAPAHOE,972900
340 NORTON ST,616700
766 10TH ST,708000
3882 WONDERLAND HILL AVE,735200
3245 4TH ST,647500
2115 DWIGHT LN,394000
2010 HERMOSA DR,896600
1095 OLD WOODBINE RD,582000
909 14TH ST,600000
1453 COUNTY RD 83,550000
PO BOX 771143,314600
2912 4TH,1194100
321 ST CHARLES AV,545600
1650 HIGH ST,718900
1375 WALNUT ST. SUITE 10,412000
2931 7TH ST,766800
3260 20TH ST,525500
2270 FLORAL DR,531400
2910 LORRAINE CT,386600
PO BOX 1169,604800
PO BOX 1397,363900
1400 OAK CIR,551900
1938 PEARL ST,1631400
3355 FOLSOM ST,383200
1365 MEADOW AVE,581500
603 PEARL ST,521000
1510 5TH ST,506200
2950 5TH ST,1641100
3090 5TH ST,1502900
520 MAXWELL AVE,733400
975 NORTH ST #201,2211600
JOHN ROBERT BRICE,748700
41 BRISTOL GREEN,762000
2056 MAPLETONE AVE,1162500
823 12TH ST,1278000
625 MAPLETON AVE,1469000
515 MAPLETON AVE,726400
1340 MEADOW AVE,1000000
2211 NICHOLL ST,438700
2447 20TH ST,500000
3110 14TH ST,972400
3777 WONDERLAND HILL AVE,761400
PO BOX 2066,284500
125 BELLEVUE DR,1513400
1539 PEARL ST,594200
1453 MACGREGOR LN,400300
500 IRIS AVE,543700
3485 17TH ST,523900
3150 19TH ST,371500
PO BOX 0967,437500
2865 S ZURICH CT,492800
750 14TH ST,1118000
2636 4TH ST,587500
3140 3RD ST,810500
650 HAWTHORN AVE,550100
543 MARINE ST,1226200
470 UNIVERSITY AVE,710000
2425 PANORAMA AVE,744600
2865 ELM AVE,362800
150 S LASHLEY LN,282900
1150 HAWTHORN AVE,712100
924 WESTWOOD BLVD STE 600,2008700
3045 24TH ST,472500
2619 SPRUCE ST,432700
2505 TOPAZ DR,1545000
819 SPRUCE ST,1566600
205 E 6TH ST,1108100
230 30TH ST,536400
6658 GUNPARK DR SUITE 102,614800
1500 ALPINE AVE,514000
3161 7TH ST,886300
1655 HIGH ST,1856700
5923 S ELM CT,641100
505 DELLWOOD AVE,1092800
525 DELLWOOD AVE,1026500
765 15TH ST,1466700
PO BOX 1807,540000
1010 GRAPE AV,528900
2525 ARAPAHOE AVE UNIT E4 PMB 444,1005000
602 22ND ST,581800
801 JUNIPER AVE,760300
1601 REDWOOD AVE,476800
2861 20TH ST,450600
305 27TH ST,326600
2920 JEFFERSON ST,641000
2475 JUNIPER AVE,542900
2495 JUNIPER AVE,437300
1711 HAWTHORN AV,530200
335 NORTON ST,715100
17 BENTHAVEN PL,806000
3385 19TH ST,532400
2617 BROADWAY,1601000
4420 W CAMINO PINTERESCO,4850000
4420 W CAMINO PINTERESCO,4850000
4420 W CAMINO PINTERESCO,4850000
4420 W CAMINO PINTERESCO,4850000
4420 W CAMINO PINTERESCO,4850000
4420 W CAMINO PINTERESCO,4850000
4420 W CAMINO PINTERESCO,4850000
4420 W CAMINO PINTERESCO,4850000
4420 W CAMINO PINTERESCO,4850000
4420 W CAMINO PINTERESCO,4850000
4420 W CAMINO PINTERESCO,4850000
4420 W CAMINO PINTERESCO,4850000
4420 W CAMINO PINTERESCO,4850000
4420 W CAMINO PINTERESCO,4850000
4420 W CAMINO PINTERESCO,4850000
4420 W CAMINO PINTERESCO,4850000
4420 W CAMINO PINTERESCO,4850000
4420 W CAMINO PINTERESCO,4850000
4420 W CAMINO PINTERESCO,4850000
4420 W CAMINO PINTERESCO,4850000
4420 W CAMINO PINTERESCO,4850000
4420 W CAMINO PINTERESCO,4850000
4420 W CAMINO PINTERESCO,4850000
4420 W CAMINO PINTERESCO,4850000
4420 W CAMINO PINTERESCO,4850000
4420 W CAMINO PINTERESCO,4850000
4420 W CAMINO PINTERESCO,4850000
4420 W CAMINO PINTERESCO,4850000
2283 NICHOLL ST,418100
2959 5TH ST,634800
3110 20TH ST,469300
851 EUCLID AVE,437200
2260 MARIPOSA AV,564000
901 GILBERT ST,552900
2330 DARTMOUTH AVE,575100
2029 COLUMBINE AVE,525000
325 FOXTAIL CT,637700
1577 NORTH ST,630800
3055 11TH ST,833500
924 8TH ST,510700
530 CONCORD AVE,1199800
PO BOX 791,978000
2453 7TH ST,504000
2305 FOREST AVE,450700
860 AURORA AVE,639600
4255 EATON CT,550700
2612 SHERWOOD CIR,434100
2610 LLOYD CIR,344900
PEGLAR VICTORIA D,707700
1220 CEDAR AVE,406000
2030 MAPLETON AVE,936500
2755 6TH ST,589200
2200 FLORAL DR,487000
2200 FLORAL DR,487000
3115 5TH ST,803500
970 LINCOLN PL,792900
2100 BASELINE RD,474500
2100 BASELINE RD,474500
9005 E KALIL DR,390000
1000 EVERGREEN AVE,742900
3059 6TH ST,931900
1391 ALPINE,562000
3060 10TH ST,469600
3040 5TH ST,900000
4383 APPLE CT,640500
ELIZABETH ANN PATTERSON,989600
1014 KALMIA AVE,1537800
839 13TH ST,499200
1540 ZAMIA AVE UNIT 201,1051100
PO BOX 1104,2127500
2345 BLUFF ST,1058300
3085 ASH AV,386800
4475 51ST ST,215000
7550 OLIVETAS AVE UNIT 316,855000
2201 PEARL ST #6,178600
3209 S GREGG CT,1262000
1911 11TH ST STE 107,779300
1089 GILBERT ST,1075000
2575 FOREST AVE,475100
2125 8TH ST,1457000
3025 3RD ST,884900
3130 JEFFERSON ST,556900
129 FOX HAVEN DR,817100
JESSE ALAN,302700
415 DRAKE ST,816000
1985 BALSAM DR,2290700
1750 30TH ST #212,746800
440 JUNIPER AVE,1548300
989 FOREST AVE,775800
922 12TH ST,705000
2881 20TH ST,408400
544 MARINE ST,1404400
7076 INDIAN PEAKS TRAIL,428200
522 PINE ST,2760700
3150 11TH ST,474400
1777 BROADWAY,12500
727 PEARL ST,618200
2645 5TH ST,775900
1916 SPRUCE ST,505000
2926 16TH ST,467200
2030 GRAPE AVE,469100
2030 GRAPE AVE,469100
475 DUNNINGTON DR,475000
PO BOX 226,1175000
380 NORTON ST,791000
750 12TH ST,647200
750 12TH ST,647200
503 22ND ST,560600
UNIV OF CO OFFICE OF BUSINESS,350000
3625 CLOVERLEAF DR,431700
2020 EDGEWOOD DR,383400
1050 ARAPAHOE AVE,530200
2230 16TH ST,807100
745 PINE ST,722300
4702 CALLE REINA,318100
PO BOX 4368,1079800
PO BOX 4368,1079800
130 31ST ST,312700
3075 9TH ST,471300
1730 LOMBARDY DR,452300
900 BASELINE RD,387000
650 LASHLEY LN,3300000
924 WESTWOOD BLVD #600,1607800
1200 28TH ST # 100,5300000
2410 GLENWOOD DR,503100
PO BOX 7250,4846600
437 MOUNTAIN VIEW RD,1635000
PO BOX 242,449100
5398 PAPAI ST,1019200
607 NORTH ST,590800
PO BOX 826,1130
2990 JEFFERSON ST,1234300
828 SPRUCE ST,875000
4865 RIVERBEND RD STE 201,1535000
3165 ARNETT ST APT 3,975600
2525 ARAPAHOE AVE UNIT E4 PMB 444,819300
7010 INDIAN PEAKS TR,700000
7010 INDIAN PEAKS TR,700000
3895 SPRING VALLEY RD,700000
3895 SPRING VALLEY RD,700000
590 NORTHSTAR CT,655000
348 ARAPAHOE AVE,752500
2209 4TH ST,871300
VALERIE A STERLING,1290000
2880 21ST ST,569100
2957 11TH ST,718200
4720 HARRISON AVE,395000
2110 BASELINE RD,403900
845 PARK LN,1694100
502 MAPLETON AVE,1575000
2436 7TH ST,758500
3715 BROADWAY ST,325000
2248 NICHOLL ST,540000
3675 ASPEN CT,481400
2625 6TH ST,823500
772 16TH ST,811500
3077 6TH ST,962400
2120 IRIS AVE,454500
3930 17TH ST,545000
3095 17TH ST,540500
245 30TH ST,392300
1890 ELDER AVE,537000
10378 S LIONS PATH,313000
3055 5TH ST,798800
1000 BAINS LANE,4330500
740-742 ALPINE AVE,492200
2873 6TH ST,1395000
2970 18TH ST,483700
737 8TH ST,585000
1053 COTTONWOOD CR,486400
540 DEWEY AVE,418300
610 NORTH ST,845600
3055 10TH ST,574200
243 BAY ST UNIT B,416900
1406 KALMIA AVE,632700
2905 DARTMOUTH AVE,447500
115 HAWK LN,601000
2440 DARTMOUTH AVE,551900
355 17TH ST,675400
290 29TH ST,325800
290 29TH ST,325800
2213 MAPLETON AVE,1001800
2905 STANFORD AVE,650000
1107 JUNIPER AVE,1051400
2829 14TH ST,879000
2829 14TH ST,879000
1230 - 1232 DEAN PL,495000
860 19TH ST,725000
860 19TH ST,725000
CAMPUS # B-24,350000
529 UNIVERSITY AVE,833300
801 JUNIPER AV,1673000
3182 9TH ST,909800
6310 SIMMONS DR,441800
U OF CO FOUNDATION INC,500000
3115 6TH ST,1060600
700 GRANT PL,865000
835 IRIS AV,543200
2200 IRIS AVE,753000
65 S COLORADO BLVD,319800
756 18TH ST,604200
2955 DOVER DR,428200
2237 MARIPOSA AVE,528400
628 1/2 CAMINO DE LA LUZ,340900
630 NORTH ST,415000
614 NORTH ST,595200
815 ALPINE AV UNIT 1,339000
416 PEARL ST,444600
320 31ST ST,322300
3836 WONDERLAND HILL AVE,787900
2361 OGDEN ST,537400
1420 PEARL ST STE 200,8593300
1539 PEARL ST,2520000
1539 PEARL ST,2520000
1539 PEARL ST,2520000
2505 KENWOOD DR,500900
375 28TH ST,283200
3023 7TH ST,609800
961 GAPTER RD,284800
764 9TH ST,533000
1845 MAPLETON AVE,624000
632 UNIVERSITY AVE,686100
1715 GARLAND LN,530800
710 QUINCE CIRCLE,480600
1819 WALNUT ST,287800
605 MEADOWBROOK DR,609600
2035 ALPINE DR,1263600
5694 MISSION CENTER RD STE 602,15250000
5694 MISSION CENTER RD STE 602,15250000
6500 ARAPAHOE,962500
6500 ARAPAHOE,412500
3038 4TH ST,672700
2011 PINE ST,515700
2003 PINE ST,502500
2003 PINE ST,502500
2820 19TH ST,369100
912 JUNIPER AVE,1723700
3155 24TH ST,402200
716 SPRUCE ST,873000
PO BOX 624,440000
1201 6TH ST,603700
3024 5TH ST,803600
965 10TH ST,390000
3515 CLOVER CR,591200
1708 HILLSIDE RD,845600
1574 NORTH ST,447400
1885 KOHLER DR,1025400
3007 10TH ST,1673800
2050 GRAPE AVE,438900
2985 13TH ST,474600
1001 GRANT PL,495700
3560 CATALPA WY,429400
603 PEARL ST,1427600
3030 S MADISON AVE,411900
550 BOWIE ST,2050600
3060 5TH ST,1123000
3115 24TH ST,385900
1675 28TH ST,429100
905 LINCOLN PL,734000
710 MARINE ST,846900
1329 5TH ST,1112500
2245 16TH ST,629000
2122 GOSS ST W,500400
55 OLIVE CT,308600
774 GRANT PL,536300
774 GRANT PL,536300
890 WILLOWBROOK RD,474600
403 MOUNTAIN VIEW RD,826000
2130 ARAPAHOE AVE,5036460
HALLETT HALL 85,599500
P.O. BOX 150218,12180500
801 MAXWELL AV,780600
1465 ALPINE AVE,620300
1011 16TH ST,4022480
515 VALLEY VIEW DR,629800
PO BOX 18261,311400
1960 KOHLER DR,800000
3015 23RD ST,454800
2012 MAPLETON AVE,891400
2585 BALSAM DR,660000
630 COLLEGE AVE,1149600
PATRICIA C BOOZELL 1/3,397000
6658 GUNPARK DR SUITE 102,1342900
1400 28TH ST STE 4,1081500
1420 28TH ST # 100,814300
1526 SPRUCE ST STE 201,2527500
1731 HAWTHORN AVE,574500
2003 BLUFF ST,520900
3005 REGIS DR,506100
502 HIGHLAND AVE,1929100
2366 KEYSTONE CT,345700
2045 MAPLETON AVE,848900
640 DEWEY AVE,546700
904 SAINT STEPHENS RD,476500
2850 DARTMOUTH AVE,415500
3015 ASH AVE,338400
971 6TH ST,1250000
340 31ST ST,412400
873 9TH ST,533600
4903 EARLSTON DR,324300
3468 HARRISON AVE,657500
2324 BLUFF ST,573000
2324 BLUFF ST,573000
2605 5TH ST,721800
5492 PUEBLO PL,570000
BRAD M OSULLIVAN,436500
7076 INDIAN PEAKS TRL,864500
104 SANDBROOK HQ RD,442900
1136 PEARL ST STE 201,1000000
3518 KIRKWOOD PL,607400
2295 GRAPE AVE,810900
3055 5TH ST,841700
2375 PANORAMA AVE,630400
2120 BLUFF ST,937900
2345 BALSAM DR,1297500
730 6TH ST,1090000
941 GRANT PL,946000
420 HIGHLAND AVE,1302700
2921 LORRAINE CT,408900
1695 IRIS AVE,648000
1695 IRIS AVE,648000
6 MIRANDA,473100
626 MAPLETON AVE,603000
3034 7TH ST,1606800
2205 BALSAM DR,433400
3232 8TH ST,647400
1928 6TH ST,828300
1564 BISON DR,551900
444 HIGHLAND AVE,1479000
431 ARAPAHOE AVE,1728900
11029 WEST BEAR CREEK DR,326200
1528 GROVE ST,463500
625 14TH ST,1733300
814 13TH ST,566100
497 KALMIA AVE,556000
2530 5TH ST,692400
CHARLES L KNAPP,595700
1921 CEDARWOOD PLACE,497100
1921 CEDARWOOD PLACE,497100
2720 14TH ST,521000
8473 W FORK RD,431900
1726 PINE ST,464200
3158 11TH ST,502000
3035 11TH ST,746400
3075 11TH ST,1033200
2041 EVERGREEN AVE,393900
2081 EVERGREEN AVE,418300
4065 15TH ST,474800
2095 DARTMOUTH AVE,541300
620 JUNIPER AVE,2845000
2954 3RD ST,707900
1505 NORWOOD AVE,640000
3073 8TH ST,637800
3101 7TH ST,508700
442 MARINE ST,933200
2828 30TH ST,480000
JOHN PAUL HARRIS,542900
422 ALPINE AVE,371000
1429 NORTH ST,509000
ATTN REAL ESTATE DEPARTMENT,1363100
5337 PINE VALLEY CT,1516700
4475 51ST ST,215000
1450 LODGE LN,541000
2992 23RD ST,391400
3434 47TH ST STE 110,103800
2953 14TH ST,517500
425 DRAKE,944900
1350 CASCADE AVE,1101500
2060 KOHLER DR,1223800
2060 KOHLER DR,1223800
1401 LODGE LN,670500
1335 OAK CT,530300
1335 OAK CT,530300
460 COLLEGE AVE,1721500
2805 REGIS DR,733200
3023 JEFFERSON ST,582100
2410 JASPER CT,452300
1910 PINE ST,450100
1527 WAVERLEY ST,560000
1285 LINDEN AV,434200
401 PINE ST,3350000
3580 4TH ST,995000
825 DELLWOOD AVE,753000
1669 NORTH ST,499700
3076 9TH ST,763700
GENE C HILTON,636500
2544 MAPLETON AVE,435000
1033 KALMIA AVE,1120200
2830 20TH ST,445100
775 14TH ST,878300
4155 47TH ST,501000
2699 5TH ST,1300000
1106 CASCADE AVE,1183000
728 12TH ST,796700
1512 WILLIAMS AVE,466300
1425 BELLEVUE DR,1109100
3120 6TH ST,575000
916 14TH ST,732500
916 14TH ST,732500
3525 COPPER ST,478900
519 CONCORD AVE,774500
2693 4TH ST,1864100
2236 17TH ST,1178600
3295 19TH ST,416800
3295 19TH ST,416800
40 SANDY DR,852500
3160 4TH ST,779900
1125 GRAPE AVE,536000
2841 20TH ST,436300
1805 KING AVE,646900
1020 S GILPIN ST,324200
1741 HAWTHORN AVE,586000
1936 BLUFF ST,932000
540 PLEASANT ST,715000
355 GRAPE LN,661300
544 MARINE ST,499500
1665 DOGWOOD LN,424300
1425 SIERRA DR,1160300
458 MARINE ST,1140500
2960 13TH ST,532700
2245 15TH ST,777700
1400 KALMIA AVE,641900
PO BOX 19995,2883320
900 BASELINE RD,440000
900 BASELINE RD,1100000
900 BASELINE RD,725000
900 BASELINE RD,2000
900 BASELINE RD,252000
900 BASELINE RD,230000
900 BASELINE RD,311000
900 BASELINE RD,183000
900 BASELINE RD,364000
900 BASELINE RD,330000
900 BASELINE RD,321000
900 BASELINE RD,268000
900 BASELINE RD,253000
900 BASELINE RD,268000
900 BASELINE RD,265000
900 BASELINE RD,295000
900 BASELINE RD,267000
900 BASELINE RD,664000
900 BASELINE RD,267000
900 BASELINE RD,253000
900 BASELINE RD,396000
900 BASELINE RD,264000
900 BASELINE RD,267000
900 BASELINE RD,299000
900 BASELINE RD,267000
900 BASELINE RD,183000
900 BASELINE RD,163000
900 BASELINE RD,272000
900 BASELINE RD,175000
900 BASELINE RD,265000
900 BASELINE RD,357000
900 BASELINE RD,290000
900 BASELINE RD,162000
900 BASELINE RD,163000
900 BASELINE RD,211000
900 BASELINE RD,274000
900 BASELINE RD,222000
900 BASELINE RD,163000
900 BASELINE RD,163000
900 BASELINE RD,304000
900 BASELINE RD,366000
900 BASELINE RD,222000
900 BASELINE RD,192000
900 BASELINE RD,224000
900 BASELINE RD,203000
900 BASELINE RD,224000
900 BASELINE RD,222000
900 BASELINE RD,303000
900 BASELINE RD,274000
900 BASELINE RD,303000
900 BASELINE RD,183000
900 BASELINE RD,253000
900 BASELINE RD,282000
900 BASELINE RD,372000
900 BASELINE RD,453000
900 BASELINE RD,319000
900 BASELINE RD,331000
900 BASELINE RD,408000
1830 CEDAR AVE,512500
924 WESTWOOD BLVD STE 600,1842600
PO BOX 2335,527400
1545 SUNSET BLVD,1300000
3171 4TH ST,703100
7076 INDIAN PEAKS TRAIL,318900
3179 6TH ST,577900
469 RIDGE LANE,585000
3095 ASH AVE,351700
403 MOUNTAIN VIEW RD,1424700
2414 KEYSTONE CT,439900
1315 ELDER AVE,588300
1020 6TH ST,542600
2005 10TH ST STE D,5632000
2005 10TH ST STE D,3350000
933 ALPINE AVE,1946700
1928 BASELINE RD,652600
243 SUMMIT TRL,813100
1603 4TH ST,1079900
1603 4TH ST,1079900
1740 DEER VALLEY RD,748800
PO BOX 791,300000
3045 9TH ST,1137100
761 CASCADE AVE,1133900
1727 MAPLETON AVE,1042400
JANET MEYER,520500
1585 DELLWOOD AVE,412000
883 13TH ST,960000
2820 CORDRY CT,348800
3775 23RD ST,967300
312 E BUFFALO UNIT 300,728000
312 E BUFFALO UNIT 300,728000
1319 S FILLMORE ST,257100
2210 BALSAM DR,494100
315 31ST ST,437200
2020 HERMOSA DR,509800
1425 ALPINE AVE,549800
1006 6TH ST,766200
2400 FOREST AVE,446600
2775 15TH ST,455900
3340 BROADWAY,411900
3340 BROADWAY,411900
3340 BROADWAY,411900
350 BRODERICK ST APT 400,362700
635 CONCORD AVE,835000
2424 5TH ST,961000
3167 7TH ST,850000
2950 STANFORD AVE,536200
420 CHRISTMAS TREE DR,490000
1730 COLUMBINE,1091700
1081 8TH ST,1036800
1081 8TH ST,1036800
2955 WASHINGTON ST,565000
861 GRANT PL,735100
1540 COLUMBINE AVE,828000
KEITH HARTNETT,400800
2097 BALSAM DRIVE,965000
3155 20TH ST,506000
836 9TH ST,590800
1130 ALPINE AVE,934200
970 GRANT PL,725400
766 GRANT PL,926300
3055 STANFORD AVE,724000
550 SPRUCE ST,711000
2820 N 7TH ST,760700
2820 N 7TH ST,760700
630 COLLEGE AVE,480000
1460 QUINCE AVE S104,428300
2535 GLENWOOD DR,422800
76 CHERRYVALE RD,406000
MCCARTHY LIVING TRUST,683100
1100 28TH AVE 100,1760200
1625 KALMIA AVE,476700
1011 SPRUCE ST,1010000
744 7TH ST,911700
1380 19TH ST,778000
1719 MAPLETON AVE,1113000
3120 11TH ST,965100
1603 OAKWOOD AVE UNIT B,451400
PO BOX 3361,435000
PO BOX 3361,435000
2575 SPRUCE ST,871300
824 7TH ST,902800
824 7TH ST,902800
7372 WINDSOR TRL,1421100
PO BOX 471,2620300
1339 NORTH ST,529000
1063 MAPLETON AVE,855000
1847 PINE ST,503000
1475 CHESTNUT PL,855700
2344 MAPLETON AVE,538900
1331 ARAPAHOE AVE,298500
390 27TH ST,399900
627 N LAKE ST,153700
25 BRISTLECONE WY,930100
1009 LINCOLN PL,622300
6422 WILLOUGHBY DR,699500
270 29TH ST,343400
3244 6TH ST,479100
PO BOX 633,1311000
PO BOX 4655,3875000
1690 LINDEN AV,388900
2945 13TH ST,739600
3307 4TH ST,688400
2455 SPOTSWOOD PL,325800
1665 LOMBARDY DR,451100
3000 15TH ST,912900
2915 MOORHEAD AVE,263200
EDWARDS,803200
2022 HERMOSA DR,581200
1051 10TH ST,700000
1539 PEARL ST,2951300
1539 PEARL ST,2951300
1539 PEARL ST,2951300
2275 NICHOLL ST,462400
2991 25TH ST,360200
470 JUNIPER AV,1032800
2227 8TH STREET,18300
2227 8TH ST,2116000
2115 13TH ST,2887500
2129 13TH ST,886000
330 PEARL ST,790000
2998 LOMA PL,1140000
705 IRIS AVE,726500
265 31ST ST,460000
3100 24TH ST,476700
1812 IRIS AV,478800
3142 5TH ST,1475700
2350 JASPER CT,348100
2350 JASPER CT,348100
420 PINE ST,1690600
104 SANDBROOK HQ RD,688800
104 SANDBROOK HQ RD,688800
909 MAPLETON AVE,1315000
909 MAPLETON AVE,1315000
2035 MESA DR,700000
638 PLEASANT ST,518200
747 10TH ST,613100
440 JAPONICA WAY,606400
BRENDA ELIZABETH LEE,697400
1590 ABILENE DR,557300
119 CEDAR ST,772000
897 CHERRYVALE RD,386700
920 10TH ST,742200
2800 17TH ST,531100
2433 PINE ST,657700
2433 PINE ST,657700
620 HIGHLAND AVE,889600
2075 GRAPE AVE,456300
2223 MEAD DR,795700
2840 19TH ST,368000
2940 17TH ST,469100
8395 SE 53RD PL,856100
2804 3RD ST,702000
2135 KING AVE,736000
GUY FORD CRAIG & CAROLE ANN CRAIG TSTEES,481600
6927 JAY RD,379600
2715 ELM AVE,453300
3000 JEFFERSON ST,857700
3020 13TH ST,587100
615 THERESA DR,1087900
PO BOX 1799,468000
1720 SPRUCE ST,696700
590 NORTHSTAR CT,380200
3308 4TH ST,1503100
2121 MESA DR,485300
101 CONVENTION CENTER DR STE 850,2400000
3330 HEMLOCK PL,457000
3690 S JOPLIN ST,487800
2955 MOOREHEAD,267800
4430 ARAPAHOE AVE 205,3300000
1535 PEARL ST,1399200
407 MARIN AVE,508300
3930 17TH ST,481100
385 30TH ST,328100
780 8TH ST,1358500
780 8TH ST,1358500
4856 VALHALLA DR,557000
1829 MAPLETON AVE,762200
MELDA WYATT ADAMS GARFIELD,965000
1811 BLUFF ST,960000
1980 GRAPE AVE,458500
633 MAXWELL AVE,863300
2145 KOHLER DR,621900
3552 KIRKWOOD PL,865400
2510 GRAPE AVE,495300
840 6TH ST,1871200
138 WILDCAT LN,668100
2002 SPRUCE ST,598800
2002 SPRUCE ST,598800
1507 NORTH ST,718200
2315 BALSAM DR,1150000
1121 SCOTT AVE,5260000
1121 SCOTT AVE,5260000
1121 SCOTT AVE,5260000
285 ABBEY PL,1370700
1121 SCOTT AVE,395200
1121 SCOTT AVE,395200
1121 SCOTT AVE,395200
603 PEARL ST,535000
PO BOX 31,488500
605 20TH ST,653400
3503 CATALPA WY,740000
PO BOX 214,595500
1377 LINDEN DR,950000
1478 ALPINE AVE,510800
1531 DELLWOOD AVE,1144000
3115 FREMONT,559800
1458 ALPINE AVE,661500
3131 WASHINGTON ST,450900
1370 RIVERSIDE AV,504500
1795 LOMBARDY DR,625000
170 S 31ST ST,368000
1753 COLUMBINE AVE,777000
3211 7TH ST,1068300
1450 BALSAM AVE,562100
1450 BALSAM AVE,562100
256 N DOVER CT,372800
1708 13TH ST,444000
260 BELLEVUE DR,899200
2200 BROADWAY ST,350000
1100 28TH ST SUITE 100,4074000
1050 ARAPAHOE AVE,445000
1100 RED ROSE LN,392300
846 16TH ST,505300
820 15TH ST,293600
1228 7TH ST,1088600
1725 GARLAND LN,692100
2741 4TH ST,598800
1291 S WINTERHAVEN DR,1344800
450 MARINE ST,1083000
3344 14TH ST,497900
2299 PEARL ST,3706900
3080 PENNSYLVANIA AVE,474000
2995 REGIS DR,536000
811 MAPLETON AVE,1594700
745 15TH ST,636800
2339 9TH ST,670000
828 9TH ST,395300
937 15TH ST,600500
325 COLGATE ST,482200
1401 MARIPOSA AVE,2002000
2131 BLUEBELL AVE,1201300
2131 BLUEBELL AVE,1201300
504 MARINE ST,1313000
PO BOX 1181,616500
544 MARINE ST,616900
515 JUNIPER AVE,580100
PO BOX 791,140000
2800 CORDRY CT,313600
978 GRANT PL,720100
525 21ST ST,561000
2263 FENTON ST,260200
2560 KENWOOD DR,719300
595 NORTHSTAR CT,757600
645 HIGHLAND AVE,781700
2335 PANORAMA AV,1103700
PO BOX 25,675000
2310 GRAPE AVE,539600
2060 FLORAL DR,257000
3038 4TH ST,516000
3555 COPPER ST,495800
3145 REPPLIER ST,428700
2385 PANORAMA AVE,754100
49 CABLE ROADWAY,541000
33611 HALYARD DR,926300
601 COQUINA LN,543600
1180 HAWTHORN AVE,532600
2029 BLUFF ST,355000
3100 DOVER DR,420400
3100 DOVER DR,420400
429 HIGHLAND AVE,754300
3120 3RD ST,837600
851 15TH ST,447800
851 15TH ST,447800
2430 20TH ST,617900
2112 BLUFF ST,625000
2820 10TH ST,790000
3560 CLOVERLEAF DR,446600
3560 CLOVERLEAF DR,446600
860 AURORA AV,755700
1359 NORTH ST,435100
961 LINCOLN PL,525000
"1100  28TH ST., SUITE 100",1499700
1660 KALMIA AVE,441000
3570 CLOVERLEAF DR,480800
NICHOLAS M SUTCLIFFE  REVOCABLE TRUST,848900
2442 BLUFF ST,735800
2442 BLUFF ST,735800
2815 5TH ST,603100
1709 LOS ALTOS DR,373200
115 ST THOMAS WY,670000
2013 MAPLETON AVE,1295000
2958 7TH ST,488400
2958 7TH ST,488400
1920 MAPLETON AVE,804100
TRAVERS,452900
2595 HAWTHORN AVE,587600
2595 HAWTHORN AVE,587600
4973 FRANKLIN DR,399700
1920 4TH ST,348000
P O BOX T,1524200
65 BELLEVUE DR,2182900
1630 WILSON CT,565100
6443 W 86TH PL,469300
2110 MEADOW AVE,1078000
651 12TH ST,1084900
3045 18TH ST,471400
1100 28TH ST STE 100,539100
810 HAWTHORN AVE,1501700
2965 WASHINGTON ST,680000
3050 BROADWAY STE 206,540000
2424 CANYON BLVD #110,600000
3355 13TH ST,662900
838 SPRUCE ST,1159400
3225 6TH ST,872700
2409 5TH ST,1984100
1630 30TH ST #252,988200
427 CANYON BLVD,416800
608 JUNIPER HILLS RD,421600
3151 6TH ST,1152700
PO BOX 120,660000
